vehicle_id,route_id,vehicle_type,driver_name,driver_license
1,1,BRTS Bus,Rajesh Parmar,GJ01-2024-001
2,2,BRTS Bus,Nilesh Patel,GJ01-2024-002
3,3,BRTS Bus,Hitesh Solanki,GJ01-2024-003
4,4,BRTS Bus,Amit Prajapati,GJ01-2024-004
5,5,BRTS Bus,Mehul Chavda,GJ01-2024-005
6,6,BRTS Bus,Dharmesh Parmar,GJ01-2024-006
7,7,BRTS Bus,Rakesh Chauhan,GJ01-2024-007
8,8,BRTS Bus,Piyush Bhatt,GJ01-2024-008
9,9,BRTS Bus,Anil Panchal,GJ01-2024-009
10,10,BRTS Bus,Vinod Desai,GJ01-2024-010
11,11,BRTS Bus,Chetan Vyas,GJ01-2024-011
12,12,BRTS Bus,Nirav Patel,GJ01-2024-012
13,13,BRTS Bus,Jignesh Soni,GJ01-2024-013
14,14,BRTS Bus,Bharat Thakkar,GJ01-2024-014
15,15,BRTS Bus,Sanjay Makwana,GJ01-2024-015
16,16,BRTS Bus,Kaushik Mehta,GJ01-2024-016
17,17,BRTS Bus,Harshad Gohil,GJ01-2024-017
18,18,BRTS Bus,Manish Parmar,GJ01-2024-018
19,19,BRTS Bus,Ashok Patel,GJ01-2024-019
20,20,BRTS Bus,Kamlesh Desai,GJ01-2024-020
21,21,BRTS Bus,Naresh Soni,GJ01-2024-021
22,22,BRTS Bus,Mahendra Rathod,GJ01-2024-022
23,23,BRTS Bus,Pravin Chauhan,GJ01-2024-023
24,24,BRTS Bus,Suresh Patel,GJ01-2024-024
25,25,BRTS Bus,Hemant Bhatt,GJ01-2024-025
26,26,BRTS Bus,Ghanshyam Vyas,GJ01-2024-026
27,27,BRTS Bus,Bhavesh Joshi,GJ01-2024-027
28,28,BRTS Bus,Vipul Shah,GJ01-2024-028
29,29,BRTS Bus,Ramesh Parmar,GJ01-2024-029
30,30,BRTS Bus,Vikas Panchal,GJ01-2024-030
31,31,BRTS Bus,Jayesh Thakkar,GJ01-2024-031
32,32,BRTS Bus,Deepak Mehta,GJ01-2024-032
33,33,BRTS Bus,Prakash Gohil,GJ01-2024-033
34,34,BRTS Bus,Hardik Shah,GJ01-2024-034
35,35,BRTS Bus,Yogesh Patel,GJ01-2024-035
36,36,BRTS Bus,Mukesh Vyas,GJ01-2024-036
37,37,BRTS Bus,Raju Solanki,GJ01-2024-037
38,38,BRTS Bus,Dinesh Parmar,GJ01-2024-038
39,39,BRTS Bus,Ankit Chauhan,GJ01-2024-039
40,40,BRTS Bus,Mahesh Joshi,GJ01-2024-040
41,41,BRTS Bus,Kiran Rathod,GJ01-2024-041
42,42,BRTS Bus,Sunil Desai,GJ01-2024-042
43,43,BRTS Bus,Chetan Makwana,GJ01-2024-043
44,44,BRTS Bus,Jatin Panchal,GJ01-2024-044
45,45,BRTS Bus,Devang Patel,GJ01-2024-045
46,46,BRTS Bus,Vijay Soni,GJ01-2024-046
47,47,BRTS Bus,Hemant Mehta,GJ01-2024-047
48,48,BRTS Bus,Nishit Vyas,GJ01-2024-048
49,49,BRTS Bus,Hiren Patel,GJ01-2024-049
50,50,BRTS Bus,Bharat Parmar,GJ01-2024-050
51,51,BRTS Bus,Mayur Shah,GJ01-2024-051
52,52,BRTS Bus,Alpesh Thakkar,GJ01-2024-052
53,53,BRTS Bus,Milan Chauhan,GJ01-2024-053
54,54,BRTS Bus,Chirag Patel,GJ01-2024-054
55,55,BRTS Bus,Krunal Mehta,GJ01-2024-055
56,56,BRTS Bus,Paresh Gohil,GJ01-2024-056
57,57,BRTS Bus,Jignesh Rathod,GJ01-2024-057
58,58,BRTS Bus,Manhar Joshi,GJ01-2024-058
59,59,BRTS Bus,Dharmendra Soni,GJ01-2024-059
60,60,BRTS Bus,Ketan Vyas,GJ01-2024-060
61,61,BRTS Bus,Rahul Patel,GJ01-2024-061
62,62,BRTS Bus,Prashant Panchal,GJ01-2024-062
63,63,BRTS Bus,Rameshbhai Desai,GJ01-2024-063
64,64,BRTS Bus,Haresh Parmar,GJ01-2024-064
65,65,BRTS Bus,Pankaj Chauhan,GJ01-2024-065
66,66,BRTS Bus,Manubhai Shah,GJ01-2024-066
67,67,BRTS Bus,Ilesh Rathod,GJ01-2024-067
68,68,BRTS Bus,Arvind Thakkar,GJ01-2024-068
69,69,BRTS Bus,Vipul Patel,GJ01-2024-069
70,70,BRTS Bus,Mukund Vyas,GJ01-2024-070
71,71,BRTS Bus,Gaurang Joshi,GJ01-2024-071
72,72,BRTS Bus,Dhruv Soni,GJ01-2024-072
73,73,BRTS Bus,Harish Mehta,GJ01-2024-073
74,74,BRTS Bus,Jayant Parmar,GJ01-2024-074
75,75,BRTS Bus,Hiral Patel,GJ01-2024-075
76,76,BRTS Bus,Devendra Rathod,GJ01-2024-076
77,77,BRTS Bus,Pritesh Chauhan,GJ01-2024-077
78,78,BRTS Bus,Bhupendra Joshi,GJ01-2024-078
79,79,BRTS Bus,Rajiv Thakkar,GJ01-2024-079
80,80,BRTS Bus,Shailesh Gohil,GJ01-2024-080
81,81,BRTS Bus,Umang Mehta,GJ01-2024-081
82,82,BRTS Bus,Chandresh Patel,GJ01-2024-082
83,83,BRTS Bus,Rohit Makwana,GJ01-2024-083
84,84,BRTS Bus,Hiren Soni,GJ01-2024-084
85,85,BRTS Bus,Ajay Vyas,GJ01-2024-085
86,86,BRTS Bus,Nayan Rathod,GJ01-2024-086
87,87,BRTS Bus,Krishnakant Joshi,GJ01-2024-087
88,88,BRTS Bus,Jitendra Thakkar,GJ01-2024-088
89,89,BRTS Bus,Piyush Patel,GJ01-2024-089
90,90,BRTS Bus,Yogendra Desai,GJ01-2024-090
91,91,BRTS Bus,Satyen Panchal,GJ01-2024-091
92,92,BRTS Bus,Mitesh Mehta,GJ01-2024-092
93,93,BRTS Bus,Himesh Patel,GJ01-2024-093
94,94,BRTS Bus,Rakesh Vyas,GJ01-2024-094
95,95,BRTS Bus,Sandeep Rathod,GJ01-2024-095
96,96,BRTS Bus,Manoj Chauhan,GJ01-2024-096
97,97,BRTS Bus,Rohan Shah,GJ01-2024-097
98,98,BRTS Bus,Bhargav Patel,GJ01-2024-098
99,99,BRTS Bus,Maheshbhai Joshi,GJ01-2024-099
100,100,BRTS Bus,Pradip Rathod,GJ01-2024-100
101,101,BRTS Bus,Abhishek Chauhan,GJ01-2024-101
102,102,BRTS Bus,Kunal Patel,GJ01-2024-102
103,103,BRTS Bus,Rakesh Solanki,GJ01-2024-103
104,104,BRTS Bus,Amit Prajapati,GJ01-2024-104
105,105,BRTS Bus,Hiren Desai,GJ01-2024-105
